estadística,posición,equipo,valor
FotMob rating,2,Argentinos Juniors,7.05
Goals per match,2,Argentinos Juniors,1.5
Goals conceded per match,3,Argentinos Juniors,0.6
Average possession,2,Argentinos Juniors,62.6%
Clean sheets,3,Argentinos Juniors,9
Expected goals (xG),6,Argentinos Juniors,21.1
Shots on target per match,4,Argentinos Juniors,4.7
Big chances,7,Argentinos Juniors,35
Big chances missed,5,Argentinos Juniors,24
Accurate passes per match,1,Argentinos Juniors,428.2
Accurate long balls per match,1,Argentinos Juniors,33.1
Accurate crosses per match,3,Argentinos Juniors,6.2
Penalties awarded,15,Argentinos Juniors,2
Touches in opposition box,2,Argentinos Juniors,413
Corners,4,Argentinos Juniors,88
xG conceded,29,Argentinos Juniors,12.9
Interceptions per match,21,Argentinos Juniors,8.9
Successful tackles per match,10,Argentinos Juniors,11.5
Clearances per match,25,Argentinos Juniors,25.5
Possession won final 3rd per match,1,Argentinos Juniors,4.4
Saves per match,24,Argentinos Juniors,2.3
Fouls per match,26,Argentinos Juniors,11.5
Yellow cards,29,Argentinos Juniors,30
Red cards,25,Argentinos Juniors,1
