estadística,posición,equipo,valor
FotMob rating,1,Argentinos Juniors,7.06
Goals per match,1,Argentinos Juniors,1.6
Goals conceded per match,3,Argentinos Juniors,0.6
Average possession,2,Argentinos Juniors,63.0%
Clean sheets,4,Argentinos Juniors,9
Expected goals (xG),3,Argentinos Juniors,22.8
Shots on target per match,4,Argentinos Juniors,4.6
Big chances,2,Argentinos Juniors,39
Big chances missed,3,Argentinos Juniors,26
Accurate passes per match,1,Argentinos Juniors,427.4
Accurate long balls per match,1,Argentinos Juniors,33.9
Accurate crosses per match,3,Argentinos Juniors,6.1
Penalties awarded,15,Argentinos Juniors,2
Touches in opposition box,1,Argentinos Juniors,440
Corners,3,Argentinos Juniors,92
xG conceded,29,Argentinos Juniors,13.7
Interceptions per match,21,Argentinos Juniors,8.7
Successful tackles per match,10,Argentinos Juniors,11.4
Clearances per match,22,Argentinos Juniors,25.9
Possession won final 3rd per match,1,Argentinos Juniors,4.4
Saves per match,26,Argentinos Juniors,2.2
Fouls per match,22,Argentinos Juniors,11.7
Yellow cards,27,Argentinos Juniors,32
Red cards,25,Argentinos Juniors,1
