Nombre,Tipo,URL,Accurate long balls,Aerial duels won,Aerial duels won %,Assists,Blocked,Chances created,Clean sheets,Cross accuracy,Dispossessed,Dribble success,Dribbled past,Duels won,Duels won %,Error led to goal,Expected assists (xA),Expected goals (xG),Fouls committed,Fouls won,Goals,Goals conceded,Goals prevented,High claim,Interceptions,Long ball accuracy,Non-penalty xG,Pass accuracy,Recoveries,Red cards,Save percentage,Saves,Shots,Shots on target,Successful crosses,Successful dribbles,Successful passes,Tackles won,Tackles won %,Touches,Touches in opposition box,Yellow cards,xG on target (xGOT)
Diego Rodriguez,Arquero,https://www.fotmob.com/players/186986,127,,,,,,9,,,,,,,1,,,,,,10,0.89,5,,50.2%,,75.4%,,0,78.7%,37,,,,,,,,,,0,
Gonzalo Siri Payer,Arquero,https://www.fotmob.com/players/1608394/gonzalo-siri-payer,9,,,,,,0,,,,,,,0,,,,,,1,,,,33.3%,,56.1%,,0,80.0%,4,,,,,,,,,,0,
Agustin Mangiaut,Arquero,https://www.fotmob.com/players/1680187/agustin-mangiaut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leandro Lozano,Jugador,https://www.fotmob.com/players/1238138,29,29,55.8%,3,3,17,,20.3%,7,42.1%,20,107,59.1%,,1.76,0.61,14,24,1,,,,21,43.3%,0.61,83.6%,83,0,,,13,3,14,8,649,31,67.4%,"1,284",29,2,0.50
Kevin Coronel,Jugador,https://www.fotmob.com/players/1575797/kevin-coronel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erik Fernando Godoy,Jugador,https://www.fotmob.com/players/316878/erik-fernando-godoy,49,37,58.7%,0,1,1,,,2,,3,60,60.6%,,0.09,1.11,9,7,1,,,,13,47.1%,1.11,88.7%,47,0,,,6,4,,,754,10,58.8%,"1,034",6,3,1.99
Luciano Sanchez,Jugador,https://www.fotmob.com/players/862337/assist-luciano-sanchez,29,13,44.8%,0,1,6,,40.0%,9,66.7%,16,52,47.3%,,0.72,0.17,14,7,0,,,,11,49.2%,0.17,79.6%,54,0,,,3,,6,6,328,18,69.2%,638,7,2,
Francisco Alvarez,Jugador,https://www.fotmob.com/players/920404/francisco-alvarez,56,57,62.0%,2,1,3,,25.0%,5,40.0%,6,87,57.6%,,0.50,0.32,13,11,0,,,,30,53.3%,0.32,88.7%,71,0,,,11,2,1,4,901,11,73.3%,"1,236",21,3,0.12
Mateo Antoni,Jugador,https://www.fotmob.com/players/1436169/mateo-antoni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tobias Ramirez,Jugador,https://www.fotmob.com/players/1607568/tobias-ramirez,3,8,72.7%,0,,,,,0,,,9,64.3%,,0.01,0.04,1,,0,,,,3,60.0%,0.04,89.3%,4,0,,,1,1,,,75,,,106,1,0,0.33
Sebastian Prieto,Jugador,https://www.fotmob.com/players/841913/sebastian-prieto,27,20,47.6%,1,3,11,,26.9%,5,64.3%,17,61,50.4%,,0.83,0.35,13,8,1,,,,11,38.6%,0.35,76.2%,40,0,,,11,4,7,9,425,16,66.7%,825,27,2,0.48
Roman Vega,Jugador,https://www.fotmob.com/players/1240172/roman-vega,30,6,60.0%,1,2,9,,26.7%,6,53.8%,8,36,49.3%,,1.59,0.93,7,5,1,,,,6,61.2%,0.93,85.8%,35,0,,,9,3,16,14,351,8,72.7%,656,18,3,1.35
Alan Rodriguez,Jugador,https://www.fotmob.com/players/1035611/alan-rodriguez,11,6,24.0%,1,7,22,,23.4%,25,52.5%,10,85,47.8%,,2.35,1.05,11,24,2,,,,5,45.8%,1.05,80.4%,66,0,,,17,6,15,31,393,16,66.7%,804,53,2,3.28
Nicolas Oroz,Jugador,https://www.fotmob.com/players/543304,60,9,50.0%,2,7,25,,42.0%,15,46.9%,14,56,44.1%,,1.96,0.79,17,7,1,,,,12,63.8%,0.79,86.8%,91,0,,,14,2,29,15,671,14,56.0%,"1,026",21,3,0.36
Francisco Ilarregui,Jugador,https://www.fotmob.com/players/580132/francisco-ilarregui,,,,0,,,,,0,,,,,,,,,,0,,,,,,,,,1,,,0,,,,0,,,0,,0,
Federico Fattori,Jugador,https://www.fotmob.com/players/616508/federico-fattori,93,14,45.2%,0,,7,,,11,66.7%,19,59,43.7%,,0.40,,31,11,0,,,,21,69.9%,,89.5%,85,1,,,0,,,2,912,16,48.5%,"1,203",3,7,
