Nombre,URL,Goals,Expected goals (xG),xG on target (xGOT),Non-penalty xG,Shots,Shots on target,Assists,Expected assists (xA),Successful passes,Pass accuracy,Accurate long balls,Long ball accuracy,Chances created,Successful crosses,Cross accuracy,Successful dribbles,Dribble success,Touches,Touches in opposition box,Dispossessed,Fouls won,Penalties awarded,Tackles won,Tackles won %,Duels won,Duels won %,Aerial duels won,Aerial duels won %,Interceptions,Blocked,Fouls committed,Recoveries,Possession won final 3rd,Dribbled past,Yellow cards,Red cards
Leandro Lozano,https://www.fotmob.com/players/1238138,1,0.61,0.50,0.61,13,3,3,1.76,649,83.6%,29,43.3%,17,14,20.3%,8,42.1%,"1,284",29,7,24,N/A,31,67.4%,107,59.1%,29,55.8%,21,3,14,83,5,20,2,0
Error de carga,https://www.fotmob.com/players/1575797/kevin-coronel,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Erik Fernando Godoy,https://www.fotmob.com/players/316878/erik-fernando-godoy,1,1.11,1.99,1.11,6,4,0,0.09,754,88.7%,49,47.1%,1,N/A,N/A,N/A,N/A,"1,034",6,2,7,N/A,10,58.8%,60,60.6%,37,58.7%,13,1,9,47,N/A,3,3,0
Luciano Sanchez,https://www.fotmob.com/players/862337/assist-luciano-sanchez,0,0.17,N/A,0.17,3,N/A,0,0.72,328,79.6%,29,49.2%,6,6,40.0%,6,66.7%,638,7,9,7,N/A,18,69.2%,52,47.3%,13,44.8%,11,1,14,54,2,16,2,0
Francisco Alvarez,https://www.fotmob.com/players/920404/francisco-alvarez,0,0.32,0.12,0.32,11,2,2,0.50,901,88.7%,56,53.3%,3,1,25.0%,4,40.0%,"1,236",21,5,11,N/A,11,73.3%,87,57.6%,57,62.0%,30,1,13,71,N/A,6,3,0
Error de carga,https://www.fotmob.com/players/1436169/mateo-antoni,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tobias Ramirez,https://www.fotmob.com/players/1607568/tobias-ramirez,0,0.04,0.33,0.04,1,1,0,0.01,75,89.3%,3,60.0%,N/A,N/A,N/A,N/A,N/A,106,1,0,N/A,N/A,N/A,N/A,9,64.3%,8,72.7%,3,N/A,1,4,N/A,N/A,0,0
Sebastian Prieto,https://www.fotmob.com/players/841913/sebastian-prieto,1,0.35,0.48,0.35,11,4,1,0.83,425,76.2%,27,38.6%,11,7,26.9%,9,64.3%,825,27,5,8,N/A,16,66.7%,61,50.4%,20,47.6%,11,3,13,40,5,17,2,0
Roman Vega,https://www.fotmob.com/players/1240172/roman-vega,1,0.93,1.35,0.93,9,3,1,1.59,351,85.8%,30,61.2%,9,16,26.7%,14,53.8%,656,18,6,5,N/A,8,72.7%,36,49.3%,6,60.0%,6,2,7,35,2,8,3,0
Alan Rodriguez,https://www.fotmob.com/players/1035611/alan-rodriguez,2,1.05,3.28,1.05,17,6,1,2.35,393,80.4%,11,45.8%,22,15,23.4%,31,52.5%,804,53,25,24,N/A,16,66.7%,85,47.8%,6,24.0%,5,7,11,66,7,10,2,0
